Sample,Bear,Date_1,days_old,Date_2,Pat_Number,split_pat,Other,North,East,Diet_Ants,Diet_Oats,Diet_Meat,Diet_Pork,Diet_Green,Diet_Blueberries,Diet_Lingonberries,Diet_Eggs,Diet_Moose,Diet_Cloudberries,Diet_NA,Diet_Bees,Diet_Sorbus,Diet_Apple,Species,Count,Comment
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,5,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus nitidulus,7,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus depressus,2,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autalia longicornis,1,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,3,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,6,
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philonthus succicola,2,
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,1,
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platystethus arenarius,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta sodalis,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus fennicus,2,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,2,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platystethus arenarius,8,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malthodes fuscus,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anotylus clavatus,7,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bisnius puella,1,
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baeocrara variolosa,2,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicrophorus vespilloides,2,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,4,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,3,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,2,
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philonthus addendus,1,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicrophorus vespilloides,2,"tai 68 (62.22.53,7: 28.09.32,4)"
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,10,"tai 68 (62.22.53,7: 28.09.32,4)"
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,"tai 68 (62.22.53,7: 28.09.32,4)"
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,5,"tai 68 (62.22.53,7: 28.09.32,4)"
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,2,"tai 68 (62.22.53,7: 28.09.32,4)"
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus proximus,1,"tai 68 (62.22.53,7: 28.09.32,4)"
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides fumatus,8,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,2,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baeocrara variolosa,1,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus proximus,3,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,1,
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus fennicus,2,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,2,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta allocera,1,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,1,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta subtilis,5,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta nesslingi,1,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Atheta celata,1,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,5,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus proximus,3,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Autalia longicornis,1,
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Omalium strigicolle,1,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,7,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides fumatus,2,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aleochara moerens,1,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,1,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta subtilis,3,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ptiliolum fuscum,2,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,2,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,1,
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bisnius puella,1,
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,2,
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaphisoma assimile,1,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta longicornis,1,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,2,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus marginellus,1,
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyphon punctipennis,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,5,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platystethus arenarius,5,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus denticollis,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,3,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oxytelus laqueatus,16,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta parapicipennis,17,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,7,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta longicornis,3,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acrotona parvula,3,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta nesslingi,4,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta dwinensis,2,
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pachyatheta cribrata,2,
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,1,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,3,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acrotona sylvicola,2,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apion simile,1,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acrotrichis cognata,1,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,2,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cryptopleurum minutum,1,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus proximus,3,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,2,
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,1,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,2,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,4,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oxytelus laqueatus,2,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus denticollis,1,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,3,
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,3,
71,,,NA,25.09.04,4,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,1,
71,,,NA,25.09.04,4,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platystethus arenarius,3,
71,,,NA,25.09.04,4,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cribripennis,2,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,1,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baeocrara variolosa,1,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anotylus clavatus,1,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platystethus arenarius,3,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,2,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus fennicus,1,tai 18 (5 piles 21.7.2007. ICOCK2200704)
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,4,tai 18 (5 piles 21.7.2007. ICOCK2200704)
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,5,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicrophorus investigator,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicrophorus vespilloides,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aleochara moerens,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philonthus varians,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acrotrichis silvatica,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercyon lateralis,1,
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sphaeridium lunatum,1,
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,1,
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megarthrus depressus,1,
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,1,
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EI KUORIAISIA,0,
